timestamp,rx_bytes,rx_packets,tx_bytes,tx_packets,min_latency,avg_latency,max_latency
2026-08-10T17:14:12.014297,166414,2055,93950,1119,0.084,0.179,0.486
2026-08-10T17:14:21.326196,166574,2057,94032,1120,0.105,0.147,0.176
2026-08-10T17:14:30.663478,166734,2059,94032,1120,0.067,0.108,0.164
2026-08-10T17:14:39.927019,166894,2061,94114,1121,0.093,0.125,0.201
2026-08-10T17:14:47.638492,167054,2063,94196,1122,0.083,0.139,0.222
2026-09-06T08:33:36.201446,7506,91,8214,97,0.087,0.132,0.166
2026-09-06T08:33:45.355884,7588,92,8296,98,0.072,0.132,0.207
2026-09-06T08:33:54.537459,7670,93,8378,99,0.053,0.11,0.158
2026-09-06T08:34:03.753345,7752,94,8460,100,0.057,0.109,0.144
2026-09-06T08:34:12.937214,7834,95,8542,101,0.08,0.137,0.175
2026-09-06T08:34:22.089581,7916,96,8624,102,0.042,0.093,0.142
2026-09-06T08:34:31.274301,7998,97,8706,103,0.082,0.12,0.183
2026-09-06T08:34:40.456841,8080,98,8788,104,0.117,0.144,0.183
2026-09-06T08:34:49.639958,8080,98,8788,104,0.047,0.093,0.12
2026-09-06T08:34:58.822884,8162,99,8870,105,0.059,0.096,0.126
2026-09-06T08:35:07.977519,8244,100,8952,106,0.073,0.127,0.173
2026-09-06T08:39:13.674801,10294,125,11002,131,0.05,0.111,0.155
2026-09-06T08:40:20.774895,10868,132,11576,138,0.031,0.038,0.045
2026-09-06T08:40:29.894835,10868,132,11576,138,0.035,0.037,0.039
2026-09-06T08:40:39.046664,10950,133,11658,139,0.043,0.051,0.058
2026-09-06T08:40:48.166633,11032,134,11740,140,0.05,0.066,0.103
2026-09-06T08:40:57.318575,11114,135,11822,141,0.045,0.052,0.067
2026-09-06T08:49:02.856161,15202,185,15910,191,0.101,0.119,0.152
2026-09-06T08:49:12.045465,15284,186,15992,192,0.047,35.52,47.614
2026-09-06T08:49:21.157298,15366,187,16074,193,37.651,43.069,49.579
2026-09-06T08:49:30.249220,15448,188,16156,194,39.259,44.347,51.898
2026-09-06T08:49:39.340897,15448,188,16156,194,34.433,42.992,50.416
2026-09-06T08:49:48.443248,15530,189,16238,195,38.044,44.691,50.653
2026-09-06T08:49:57.550416,15612,190,16320,196,36.316,43.839,49.769
2026-09-06T08:50:06.652672,15694,191,16402,197,37.898,45.0,51.903
2026-09-06T08:54:30.470466,213622260,3236096,390671725854,8793073,0.055,0.082,0.094
2026-09-06T08:54:39.590991,213622834,3236103,390671726428,8793080,0.047,0.067,0.075
2026-09-06T08:54:48.710272,213623406,3236109,390671727000,8793086,0.045,0.073,0.106
2026-09-06T08:54:57.799473,213623978,3236115,390671727572,8793092,0.042,0.07,0.086
2026-09-06T08:55:06.923280,213624984,3236126,390671728578,8793103,0.045,0.064,0.073
2026-09-06T08:55:16.071110,213625556,3236132,390671729150,8793109,0.049,0.074,0.087
2026-09-06T08:55:25.190645,213626170,3236139,390671729764,8793116,0.054,0.088,0.139
2026-09-06T08:55:34.312970,213626784,3236146,390671730378,8793123,0.044,0.094,0.186
2026-09-06T08:55:43.444373,213627356,3236152,390671730950,8793129,0.057,15.807,42.348
2026-09-06T08:55:52.585004,213804030,3238789,390679946342,8796671,37.326,43.221,51.935
2026-09-06T08:56:01.713971,214044824,3242400,390691180830,8801399,37.829,42.948,47.736
2026-09-06T08:56:10.865241,214286320,3246022,390702426700,8806102,37.669,43.81,50.396
2026-09-06T08:56:19.998362,214527218,3249635,390713639642,8810789,35.845,43.464,50.637
2026-09-06T09:54:01.431767,215218962,3260001,390745752288,8824358,0.101,0.132,0.19
2026-09-06T09:54:29.881502,215220174,3260015,390745753500,8824372,0.047,0.165,0.217
2026-09-06T09:54:39.064412,215220830,3260023,390745754156,8824380,0.073,0.187,0.486
2026-09-06T09:54:48.279323,215221402,3260029,390745754728,8824386,0.074,0.105,0.136
2026-09-06T09:54:57.465430,215221974,3260035,390745755300,8824392,0.059,0.271,0.682
2026-09-06T09:55:06.681204,215222630,3260043,390745755956,8824400,0.062,0.218,0.413
2026-09-06T09:55:15.864747,215223120,3260048,390745756446,8824405,0.059,0.128,0.177
2026-09-06T09:55:25.109332,215223692,3260054,390745757018,8824411,0.069,0.09,0.106
2026-09-06T09:55:34.326635,215224348,3260062,390745757674,8824419,0.063,0.101,0.138
2026-09-06T09:55:43.478097,215224920,3260068,390745758246,8824425,0.049,0.09,0.19
2026-09-06T09:55:52.727428,215225492,3260074,390745758818,8824431,0.052,0.077,0.109
2026-09-06T09:56:01.911290,215226148,3260082,390745759474,8824439,0.07,0.076,0.084
2026-09-06T09:56:11.062458,215226720,3260088,390745760046,8824445,0.057,0.107,0.165
2026-09-06T09:56:20.216305,215227292,3260094,390745760618,8824451,0.059,0.101,0.2
2026-09-06T09:56:29.401313,215227948,3260102,390745761274,8824459,0.049,0.146,0.195
2026-09-06T09:56:38.552925,215228520,3260108,390745761846,8824465,0.101,0.12,0.152
2026-09-06T09:56:47.736742,215229092,3260114,390745762418,8824471,0.066,0.145,0.218
2026-09-06T09:59:33.015138,216819108,3283954,390819921416,8855820,0.06,0.085,0.114
2026-09-06T09:59:42.198863,216819680,3283960,390819921988,8855826,0.065,0.158,0.288
2026-09-06T09:59:51.353884,216820336,3283968,390819922644,8855834,0.096,0.168,0.254
2026-09-06T10:00:00.503784,216820908,3283974,390819923216,8855840,0.058,0.125,0.163
2026-09-06T10:00:09.688101,216821480,3283980,390819923788,8855846,0.059,0.118,0.153
2026-09-06T10:00:18.870587,216822136,3283988,390819924444,8855854,0.05,0.084,0.104
2026-09-06T10:00:27.992320,216897904,3285112,390823348358,8857333,35.143,41.196,48.823
2026-09-06T10:00:37.200133,217138662,3288721,390834653092,8862160,38.389,43.194,49.669
2026-09-06T10:00:46.336322,217379396,3292330,390845897192,8866902,37.57,43.416,50.61
2026-09-06T10:00:55.491762,217619946,3295939,390857138352,8871622,36.192,42.961,49.454
2026-09-06T10:01:04.637436,217859456,3299530,390868365608,8876394,37.511,44.675,50.659
2026-09-06T10:01:13.777140,218098948,3303120,390879592410,8881203,36.382,43.837,49.674
2026-09-06T10:01:22.922781,218338872,3306718,390890830170,8885959,36.034,45.972,52.22
2026-09-06T10:01:32.049041,218577802,3310293,390902004780,8890774,38.816,44.011,51.33
2026-09-06T10:01:41.169309,218817168,3313882,390913228022,8895551,37.646,42.666,49.371
2026-09-06T10:01:50.291948,219055682,3317457,390924434874,8900321,38.844,44.552,51.949
